game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2025-05-24,2025,A'ja Wilson,LVA,WAS,A,38.0,15.0,12.0,5.0,1.0,2.0,3.0,3.0,13.0,5.0,4.0,4.0,2.0,10.0,,a'ja wilson,0,last_good_canonical,401736129.0,3149391.0,C,1.0,1.0,espn
2025-05-25,2025,A'ja Wilson,LVA,SEA,A,28.0,15.0,5.0,4.0,0.0,1.0,3.0,3.0,11.0,5.0,6.0,5.0,0.0,5.0,,a'ja wilson,0,last_good_canonical,401736137.0,3149391.0,C,1.0,1.0,espn
2025-05-31,2025,A'ja Wilson,LVA,LAS,A,36.0,35.0,13.0,6.0,1.0,3.0,3.0,1.0,18.0,12.0,10.0,10.0,3.0,10.0,,a'ja wilson,0,last_good_canonical,401736148.0,3149391.0,C,1.0,1.0,espn
2025-06-01,2025,A'ja Wilson,LVA,SEA,A,35.0,19.0,7.0,3.0,1.0,3.0,4.0,3.0,22.0,9.0,0.0,0.0,4.0,3.0,,a'ja wilson,0,last_good_canonical,401736154.0,3149391.0,C,1.0,1.0,espn
2025-06-07,2025,A'ja Wilson,LVA,GSV,A,27.0,17.0,6.0,2.0,0.0,0.0,1.0,5.0,13.0,5.0,8.0,7.0,1.0,5.0,,a'ja wilson,0,last_good_canonical,401736163.0,3149391.0,C,1.0,1.0,espn
2025-06-12,2025,A'ja Wilson,LVA,LAS,A,28.0,13.0,8.0,5.0,0.0,2.0,4.0,1.0,12.0,2.0,10.0,9.0,2.0,6.0,,a'ja wilson,0,last_good_canonical,401736171.0,3149391.0,C,1.0,1.0,espn
2025-06-18,2025,A'ja Wilson,LVA,MIN,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,a'ja wilson,0,last_good_canonical,401736186.0,3149391.0,C,0.0,0.0,espn
2025-06-21,2025,A'ja Wilson,LVA,SEA,A,34.0,20.0,14.0,2.0,0.0,2.0,3.0,7.0,11.0,6.0,13.0,8.0,1.0,13.0,,a'ja wilson,0,last_good_canonical,401736193.0,3149391.0,C,1.0,1.0,espn
2025-06-22,2025,A'ja Wilson,LVA,IND,A,34.0,24.0,7.0,2.0,0.0,1.0,2.0,3.0,21.0,8.0,10.0,8.0,1.0,6.0,,a'ja wilson,0,last_good_canonical,401736198.0,3149391.0,C,1.0,1.0,espn
2025-06-26,2025,A'ja Wilson,LVA,CON,A,27.0,22.0,8.0,4.0,0.0,4.0,3.0,0.0,16.0,8.0,7.0,6.0,1.0,7.0,,a'ja wilson,0,last_good_canonical,401736206.0,3149391.0,C,1.0,1.0,espn
2025-06-27,2025,A'ja Wilson,LVA,WAS,A,32.0,22.0,5.0,2.0,0.0,1.0,4.0,0.0,18.0,8.0,7.0,6.0,0.0,5.0,,a'ja wilson,0,last_good_canonical,401736208.0,3149391.0,C,1.0,1.0,espn
2025-06-29,2025,A'ja Wilson,LVA,PHX,A,35.0,26.0,18.0,7.0,0.0,1.0,1.0,3.0,20.0,8.0,11.0,10.0,3.0,15.0,,a'ja wilson,0,last_good_canonical,401736217.0,3149391.0,C,1.0,1.0,espn
2025-07-03,2025,A'ja Wilson,LVA,IND,A,26.0,29.0,3.0,1.0,0.0,0.0,1.0,3.0,18.0,9.0,13.0,11.0,0.0,3.0,,a'ja wilson,0,last_good_canonical,401736220.0,3149391.0,C,1.0,1.0,espn
2025-07-06,2025,A'ja Wilson,LVA,CON,A,24.0,19.0,3.0,0.0,1.0,2.0,4.0,1.0,10.0,8.0,3.0,2.0,0.0,3.0,,a'ja wilson,0,last_good_canonical,401736227.0,3149391.0,C,1.0,1.0,espn
2025-07-09,2025,A'ja Wilson,LVA,NYL,A,14.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,4.0,,a'ja wilson,0,last_good_canonical,401736233.0,3149391.0,C,1.0,1.0,espn
2025-07-10,2025,A'ja Wilson,LVA,WAS,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,a'ja wilson,0,last_good_canonical,401736239.0,3149391.0,C,0.0,0.0,espn
2025-07-12,2025,A'ja Wilson,LVA,GSV,A,33.0,34.0,16.0,4.0,1.0,1.0,2.0,0.0,16.0,12.0,12.0,9.0,5.0,11.0,,a'ja wilson,0,last_good_canonical,401736243.0,3149391.0,C,1.0,1.0,espn
2025-07-17,2025,A'ja Wilson,LVA,DAL,A,34.0,37.0,10.0,2.0,0.0,0.0,2.0,4.0,25.0,15.0,12.0,7.0,2.0,8.0,,a'ja wilson,0,last_good_canonical,401736256.0,3149391.0,C,1.0,1.0,espn
2025-07-23,2025,A'ja Wilson,LVA,ATL,A,31.0,24.0,12.0,5.0,0.0,2.0,2.0,1.0,18.0,9.0,7.0,6.0,1.0,11.0,,a'ja wilson,0,last_good_canonical,401736260.0,3149391.0,C,1.0,1.0,espn
2025-07-24,2025,A'ja Wilson,LVA,IND,A,30.0,20.0,6.0,2.0,0.0,3.0,1.0,5.0,17.0,7.0,6.0,6.0,0.0,6.0,,a'ja wilson,0,last_good_canonical,401736264.0,3149391.0,C,1.0,1.0,espn
2025-07-25,2025,A'ja Wilson,LVA,MIN,A,24.0,15.0,7.0,3.0,0.0,0.0,3.0,0.0,11.0,5.0,6.0,5.0,3.0,4.0,,a'ja wilson,0,last_good_canonical,401736267.0,3149391.0,C,1.0,1.0,espn
