player_name,team,opponent,stat,line,over_odds,under_odds,sportsbook,fetched_at,source_mode,_data_source,_stat_label,_odds_type,player_key
Michaela Onyenwere,WAS,,points,8.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,michaela onyenwere
Julie Allemand,TOR,,points,7.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,julie allemand
Sonia Citron,WAS,,ra,6.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,sonia citron
Georgia Amoore,WAS,,points,6.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,georgia amoore
Nyara Sabally,TOR,,rebounds,4.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,nyara sabally
Shakira Austin,WAS,,points,13.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,shakira austin
Maria Conde,TOR,,pr,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,maria conde
Kiki Iriafen,WAS,,pra,26.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,kiki iriafen
Julie Allemand,TOR,,pa,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,julie allemand
Marina Mabrey,TOR,,pr,26.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,marina mabrey
Shakira Austin,WAS,,pra,25.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,shakira austin
Kiki Iriafen,WAS,,pr,25.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,kiki iriafen
Sonia Citron,WAS,,pra,24.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,sonia citron
Marina Mabrey,TOR,,points,23.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,marina mabrey
