slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,actual_value,error,absolute_error,squared_error,source_file,created_at_utc
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,steals,1.15,2.0,-0.8500000000000001,0.8500000000000001,0.7225000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,blocks,0.38,0.0,0.38,0.38,0.1444,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,points,5.55,13.0,-7.45,7.45,55.502500000000005,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,rebounds,1.83,2.0,-0.16999999999999993,0.16999999999999993,0.028899999999999974,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,assists,2.65,3.0,-0.3500000000000001,0.3500000000000001,0.12250000000000007,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,threes_made,0.89,2.0,-1.1099999999999999,1.1099999999999999,1.2320999999999998,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,steals,0.72,1.0,-0.28,0.28,0.07840000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jade Melbourne,jade melbourne,jade melbourne,SEA,GSV,blocks,0.27,0.0,0.27,0.27,0.0729,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,points,10.2,10.0,0.1999999999999993,0.1999999999999993,0.039999999999999716,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,rebounds,6.23,5.0,1.2300000000000004,1.2300000000000004,1.512900000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,assists,1.97,1.0,0.97,0.97,0.9409,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,threes_made,1.42,1.0,0.41999999999999993,0.41999999999999993,0.17639999999999995,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,steals,0.58,2.0,-1.42,1.42,2.0164,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Jonquel Jones,jonquel jones,jonquel jones,NYL,CON,blocks,0.88,1.0,-0.12,0.12,0.0144,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,points,7.86,3.0,4.86,4.86,23.619600000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,rebounds,2.97,3.0,-0.029999999999999805,0.029999999999999805,0.0008999999999999883,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,assists,5.05,2.0,3.05,3.05,9.302499999999998,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,threes_made,1.39,1.0,0.3899999999999999,0.3899999999999999,0.15209999999999993,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,steals,1.5,1.0,0.5,0.5,0.25,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Julie Allemand,julie allemand,julie allemand,TOR,WAS,blocks,0.28,0.0,0.28,0.28,0.07840000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,points,11.58,13.0,-1.42,1.42,2.0164,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,rebounds,5.6,8.0,-2.4000000000000004,2.4000000000000004,5.760000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,assists,1.61,1.0,0.6100000000000001,0.6100000000000001,0.3721000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,threes_made,1.61,3.0,-1.39,1.39,1.9320999999999997,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,steals,0.95,0.0,0.95,0.95,0.9025,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kayla Thornton,kayla thornton,kayla thornton,GSV,SEA,blocks,0.42,0.0,0.42,0.42,0.17639999999999997,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
