GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,REB,Rebounds,0.77,0.64,0.19,1.53,0.58,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,REB,Rebounds,0.71,0.57,0.15,1.44,0.57,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,REB,Rebounds,0.32,0.01,0.0,0.91,0.89,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,SB,Stl+Blk,2.28,2.0,0.0,5.0,1.94,29.13,Low,,UNKNOWN,10000,1
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,SB,Stl+Blk,1.64,1.0,0.0,3.0,1.36,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,SB,Stl+Blk,1.33,1.0,0.0,3.0,1.18,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,SB,Stl+Blk,1.05,1.0,0.0,2.0,1.04,27.65,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.98,1.0,0.0,3.0,1.29,19.65,Low,,UNKNOWN,10000,1
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.79,1.0,0.0,2.0,1.0,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.43,0.0,0.0,1.0,0.92,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.42,0.0,0.0,1.0,1.0,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.35,0.0,0.0,1.0,0.65,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.33,0.0,0.0,1.0,0.85,12.27,Medium,,UNKNOWN,10000,2
