bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,actual_value,bet_result,confidence_score,line_delta,bet_quality_score,date,player,matchup,raw_stat,bet,projection,abs_edge,stddev,model_confidence,bet_confidence,confidence_label,result,actual,empty_state_reason,candidate_count,qualified_count,won_flag,lost_flag,result_binary,baseline_confidence_bucket,minutes_bucket,line_bucket,starter_proxy,confidence_label_norm,minutes_abs_error,player_stat_support,shadow_hit_rate
2026-05-29,Marine Johannes,NYL,PHX,pra,18.5,under,prizepicks,,0.9706,0.4706,8.297561992680688,7.449701598953215,3.3921831958057163,14.216122263588028,14.368052097923798,low,9.0,win,1.0,-10.202438007319312,71.45847957025703,2026-05-29,Marine Johannes,NYL vs PHX,pra,UNDER PRA,8.297561992680688,10.202438007319312,4.455207713269612,LOW,47.06,Low,,,,,,1,0,1.0,90+,10-18,18-24,bench_proxy,low,4.630000000000001,8,0.62
2026-05-29,Natasha Howard,MIN,CHI,pr,24.0,under,prizepicks,,0.9758,0.4758,14.787437652293574,14.466659837461734,9.657770824615469,20.43794713799588,23.895906298699305,low,21.0,win,1.0,-9.212562347706426,71.4044395366674,2026-05-29,Natasha Howard,MIN vs CHI,pr,UNDER PR,14.787437652293574,9.212562347706426,4.256457504494319,LOW,47.58,Low,,,,,,1,0,1.0,90+,18-24,22-28,bench_proxy,low,5.100000000000001,11,0.62
2026-05-29,Allisha Gray,ATL,POR,pr,24.5,under,prizepicks,,0.9688,0.4688,16.652554622444317,16.41736862203162,11.826967392025066,21.72299732807976,31.560505741063224,medium,16.0,win,2.0,-7.847445377555683,71.39426054978757,2026-05-29,Allisha Gray,ATL vs POR,pr,UNDER PR,16.652554622444317,7.847445377555683,3.874215194721893,MEDIUM,46.88,Medium,,,,,,1,0,1.0,90+,30-35,22-28,starter_proxy,medium,1.5599999999999987,7,0.64
2026-05-29,Kahleah Copper,PHX,NYL,pa,21.5,under,prizepicks,,0.962,0.4619999999999999,11.336810125508787,10.81488780441274,5.357831176583799,17.882438967520596,25.739366837263788,low,17.0,win,1.0,-10.163189874491213,70.68537087960912,2026-05-29,Kahleah Copper,PHX vs NYL,pa,UNDER PA,11.336810125508787,10.163189874491213,5.036473872545097,LOW,46.2,Low,,,,,,1,0,1.0,90+,24-30,16-22,starter_proxy,low,11.260000000000002,3,0.62
2026-05-29,Natasha Cloud,CHI,MIN,pa,16.5,under,prizepicks,,0.9666,0.4666,10.708943781112234,10.502373815911044,7.1600622498040725,14.53170733422614,29.4135101461626,medium,8.0,win,2.0,-5.791056218887766,68.99846152327264,2026-05-29,Natasha Cloud,CHI vs MIN,pa,UNDER PA,10.708943781112234,5.791056218887766,2.9017176988468,MEDIUM,46.66,Medium,,,,,,1,0,1.0,90+,24-30,16-22,starter_proxy,medium,1.59,4,0.64
2026-05-29,Marine Johannes,NYL,PHX,pa,15.5,under,prizepicks,,0.959,0.4589999999999999,6.822010893119752,5.988148467840066,2.249873146971612,12.35883174331076,14.368052097923798,low,7.0,win,1.0,-8.677989106880247,68.48403066981797,2026-05-29,Marine Johannes,NYL vs PHX,pa,UNDER PA,6.822010893119752,8.677989106880247,4.20845870978858,LOW,45.9,Low,,,,,,1,0,1.0,90+,10-18,12-16,bench_proxy,low,4.630000000000001,7,0.62
2026-05-29,Breanna Stewart,NYL,PHX,pr,28.0,under,prizepicks,,0.9164,0.4164,19.173738445322645,18.605661703725104,11.694781544391438,27.28695844921791,27.224940631737645,low,17.0,win,1.0,-8.826261554677355,63.69300977362949,2026-05-29,Breanna Stewart,NYL vs PHX,pr,UNDER PR,19.173738445322645,8.826261554677355,6.144006820716995,LOW,41.64,Low,,,,,,1,0,1.0,90+,24-30,28+,starter_proxy,low,1.7800000000000011,15,0.62
2026-05-29,Natasha Mack,PHX,NYL,points,9.0,under,prizepicks,,0.9197,0.4196999999999999,4.775212689205819,4.329571404524611,1.5531312831877644,8.510557293870768,18.59792698089274,low,6.0,win,1.0,-4.224787310794181,59.245225120220965,2026-05-29,Natasha Mack,PHX vs NYL,points,UNDER PTS,4.775212689205819,4.224787310794181,2.834856313384788,LOW,41.97,Low,,,,,,1,0,1.0,90+,18-24,8-12,bench_proxy,low,9.4,5,0.62
2026-05-29,Jordin Canada,ATL,POR,pr,14.0,under,prizepicks,,0.9005,0.4004999999999999,8.659706250868819,8.15884162280575,3.934924335812307,13.994835474008545,29.366940150407945,low,13.0,win,1.0,-5.340293749131181,58.28380195364342,2026-05-29,Jordin Canada,ATL vs POR,pr,UNDER PR,8.659706250868819,5.340293749131181,4.044445697855501,LOW,40.05,Low,,,,,,1,0,1.0,90+,24-30,12-16,starter_proxy,low,2.370000000000001,4,0.62
2026-05-29,Natasha Mack,PHX,NYL,pr,16.0,under,prizepicks,,0.8884,0.3883999999999999,10.823463801552222,10.39315759530842,5.887044524117524,16.283588015144446,18.59792698089274,low,15.0,win,1.0,-5.176536198447778,56.28447400787456,2026-05-29,Natasha Mack,PHX vs NYL,pr,UNDER PR,10.823463801552222,5.176536198447778,4.123933996533297,LOW,38.84,Low,,,,,,1,0,1.0,80-90,18-24,16-22,bench_proxy,low,9.4,11,0.62
2026-05-29,Jonquel Jones,NYL,PHX,rebounds,8.5,under,prizepicks,,0.8889,0.3889,5.770523547830461,5.549617877722813,3.146265131725868,8.672573329366944,23.59337050387824,medium,9.0,loss,2.0,-2.729476452169539,56.04977756728589,2026-05-29,Jonquel Jones,NYL vs PHX,rebounds,UNDER REB,5.770523547830461,2.729476452169539,2.182454665001316,MEDIUM,38.89,Medium,,,,,,0,1,0.0,80-90,18-24,7-9,bench_proxy,medium,7.41,4,0.64
2026-05-29,Olivia Miles,MIN,CHI,ra,10.5,under,prizepicks,,0.8768,0.3768,8.33299870796482,8.213495332597823,6.057027151349489,10.771531821942697,32.40704531804272,medium,12.0,loss,2.0,-2.167001292035181,54.23921265157647,2026-05-29,Olivia Miles,MIN vs CHI,ra,UNDER RA,8.33299870796482,2.167001292035181,1.8589481571732769,MEDIUM,37.68,Medium,,,,,,0,1,0.0,80-90,30-35,8-12,starter_proxy,medium,0.4099999999999966,6,0.64
2026-05-29,Rhyne Howard,ATL,POR,assists,4.0,over,prizepicks,,0.8734,0.3733999999999999,5.078638480131743,5.0243362965707234,3.854909185844041,6.344353663204871,35.4836700394244,medium,4.0,push,2.0,1.078638480131743,52.81814858131448,2026-05-29,Rhyne Howard,ATL vs POR,assists,OVER AST,5.078638480131743,1.078638480131743,0.9780979965692326,MEDIUM,37.34,Medium,,,,,,0,0,,80-90,35+,4-6,starter_proxy,medium,1.4799999999999969,4,0.64
2026-05-29,Kayla McBride,MIN,CHI,rebounds,3.5,under,prizepicks,,0.8669,0.3669,2.2772172410465075,2.155817753381519,0.965663030303496,3.734708931399053,27.006546827369952,medium,5.0,loss,2.0,-1.2227827589534923,51.89547916377459,2026-05-29,Kayla McBride,MIN vs CHI,rebounds,UNDER REB,2.2772172410465075,1.2227827589534923,1.096662417881655,MEDIUM,36.69,Medium,,,,,,0,1,0.0,80-90,24-30,3-5,starter_proxy,medium,3.9899999999999984,3,0.64
2026-05-29,Courtney Williams,MIN,CHI,points,16.0,under,prizepicks,,0.7968,0.2967999999999999,12.780542671004318,12.41018127496821,7.760890715404074,18.308914568678485,27.161252885825675,medium,10.0,win,2.0,-3.2194573289956825,45.13429491557044,2026-05-29,Courtney Williams,MIN vs CHI,points,UNDER PTS,12.780542671004318,3.2194573289956825,4.117790186090013,MEDIUM,29.68,Medium,,,,,,1,0,1.0,70-80,24-30,16-20,starter_proxy,medium,1.84,3,0.64
2026-05-30,Carla Leite,POR,IND,pa,19.5,under,prizepicks,,0.9651,0.4650999999999999,8.241839176052594,7.25215321406746,2.830493472894412,14.91409458831524,14.089608485967844,low,30.0,loss,1.0,-11.258160823947406,71.81834907852644,2026-05-30,Carla Leite,POR vs IND,pa,UNDER PA,8.241839176052594,11.258160823947406,5.043543017210154,LOW,46.51,Low,,,,,,0,1,0.0,90+,10-18,16-22,bench_proxy,low,12.91,10,0.62
