fight_id,event_name,event_date,fighter_red,fighter_blue,source,projection_player,projection_opponent,market_type,market_label,selection,line,probability
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,moneyline,Elisha Ellison win,blue,,0.1854509347187886
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,inside_distance,Fight ends inside distance,yes,,0.4966139917631578
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,inside_distance,Fight goes to decision,no,,0.5033860082368422
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,method,Win by KO/TKO,ko_tko,,0.3200554363592381
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,method,Win by Submission,submission,,0.17655855540391965
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,method,Win by Decision,decision,,0.5033860082368422
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.34797512330206665
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.6520248766979333
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.4466722879334472
ccaac8c6e78a,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.5533277120665527
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,moneyline,Cody Garbrandt win,red,,0.6979246999556886
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,moneyline,Adrian Yanez win,blue,,0.3020753000443114
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,inside_distance,Fight ends inside distance,yes,,0.41512177413864143
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,inside_distance,Fight goes to decision,no,,0.5848782258613585
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,method,Win by KO/TKO,ko_tko,,0.3184395096354642
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,method,Win by Submission,submission,,0.09668226450317724
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,method,Win by Decision,decision,,0.5848782258613585
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.29143757105612444
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.7085624289438756
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.3655772244024936
0f0f0f8aeaed,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.6344227755975065
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,moneyline,Luke Riley win,red,,0.6039887943704119
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,moneyline,Kai Kamaka III win,blue,,0.39601120562958814
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,inside_distance,Fight ends inside distance,yes,,0.3449436046737298
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,inside_distance,Fight goes to decision,no,,0.6550563953262702
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,method,Win by KO/TKO,ko_tko,,0.24977406948411474
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,method,Win by Submission,submission,,0.09516953518961506
