PLAYER_NAME,TEAM,STAT,LINE,IS_REGULAR_HINT,IS_GOBLIN,IS_DEMON,START_TIME_ET,BOARD_TIME_ET,UPDATED_AT_ET
De'Aaron Fox,SAS,Rebounds - 1st 3 Minutes,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:38.011000-04:00,2026-05-25T18:00:56.157000-04:00
De'Aaron Fox,SAS,Rebs+Asts,9.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:05.035000-04:00,2026-05-25T09:57:59.541000-04:00
De'Aaron Fox,SAS,Steals,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:05.236000-04:00,2026-05-25T00:15:53.778000-04:00
De'Aaron Fox,SAS,Turnovers,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:01:37.086000-04:00,2026-05-25T15:05:03.214000-04:00
De'Aaron Fox,SAS,Two Pointers Attempted,8.0,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
De'Aaron Fox,SAS,Two Pointers Made,4.0,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T23:03:35.296000-04:00
Devin Vassell,SAS,3-PT Made,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:05.572000-04:00,2026-05-24T22:57:02.178000-04:00
Devin Vassell,SAS,Assists,4.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:57:28.127000-04:00,2026-05-26T01:04:25.701000-04:00
Devin Vassell,SAS,Assists - 1st 3 Minutes,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:38.262000-04:00,2026-05-25T18:48:11.340000-04:00
Devin Vassell,SAS,Blocked Shots,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:54:45.102000-04:00,2026-05-26T01:27:06.400000-04:00
Devin Vassell,SAS,Defensive Rebounds,4.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-20T16:29:00-04:00,2026-05-25T16:29:46.104000-04:00
Devin Vassell,SAS,Dunks,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-26T20:40:00-04:00,2026-05-25T14:37:17.456000-04:00
Devin Vassell,SAS,FG Attempted,11.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:54:00-04:00,2026-05-25T20:55:52.792000-04:00
Devin Vassell,SAS,FG Made,4.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T20:54:00-04:00,2026-05-25T20:55:01.608000-04:00
Devin Vassell,SAS,Fantasy Score,26.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-26T14:09:00-04:00,2026-05-26T00:53:33.635000-04:00
Devin Vassell,SAS,Free Throws Attempted,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-25T20:43:42.303000-04:00
Devin Vassell,SAS,Offensive Rebounds,0.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T16:29:00-04:00,2026-05-25T16:29:40.227000-04:00
Devin Vassell,SAS,Personal Fouls,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-01T08:09:00-04:00,2026-05-25T13:56:02.168000-04:00
Devin Vassell,SAS,Points,13.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:06.764000-04:00,2026-05-25T12:48:10.631000-04:00
Devin Vassell,SAS,Points - 1st 3 Minutes,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:38.517000-04:00,2026-05-25T23:11:14.113000-04:00
Devin Vassell,SAS,Pts+Asts,16.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:07.397000-04:00,2026-05-25T00:05:48.290000-04:00
Devin Vassell,SAS,Pts+Rebs,18.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:07.959000-04:00,2026-05-25T16:32:35.531000-04:00
Devin Vassell,SAS,Pts+Rebs+Asts,21.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:08.487000-04:00,2026-05-24T23:01:24.234000-04:00
Devin Vassell,SAS,Rebounds,4.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:20:43.565000-04:00,2026-05-25T01:32:10.382000-04:00
Devin Vassell,SAS,Rebounds - 1st 3 Minutes,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:39.077000-04:00,2026-05-25T19:29:46.649000-04:00
Devin Vassell,SAS,Rebs+Asts,6.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:09.289000-04:00,2026-05-25T11:20:05.049000-04:00
Devin Vassell,SAS,Steals,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:02:43.439000-04:00,2026-05-26T02:07:32.126000-04:00
Devin Vassell,SAS,Turnovers,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:01:38.610000-04:00,2026-05-25T13:56:01.808000-04:00
Devin Vassell,SAS,Two Pointers Attempted,4.5,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
Devin Vassell,SAS,Two Pointers Made,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
Dylan Harper,SAS,3-PT Attempted,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-01T08:09:00-04:00,2026-05-25T16:23:08.996000-04:00
Dylan Harper,SAS,3-PT Made,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:19:23.448000-04:00,2026-05-25T18:18:59.859000-04:00
Dylan Harper,SAS,Assists,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:10.211000-04:00,2026-05-25T22:16:23.240000-04:00
Dylan Harper,SAS,Blks+Stls,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T14:02:20.706000-04:00,2026-05-25T15:55:10.540000-04:00
Dylan Harper,SAS,Blocked Shots,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T14:02:20.886000-04:00,2026-05-25T19:03:23.300000-04:00
