PLAYER,RAW_STAT,NORMALIZED_STAT
Herbert Jones,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Herbert Jones,Two Pointers Made,TWO POINTERS MADE
Isaiah Hartenstein,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Isaiah Hartenstein,Blocked Shots,BLOCKED SHOTS
Isaiah Hartenstein,Defensive Rebounds,DEFENSIVE REBOUNDS
Isaiah Hartenstein,Double-Double,DOUBLEDOUBLE
Isaiah Hartenstein,FG Attempted,FG ATTEMPTED
Isaiah Hartenstein,FG Made,FG MADE
Isaiah Hartenstein,Free Throws Attempted,FREE THROWS ATTEMPTED
Isaiah Hartenstein,Free Throws Made,FREE THROWS MADE
Isaiah Hartenstein,Offensive Rebounds,OFFENSIVE REBOUNDS
Isaiah Hartenstein,Personal Fouls,PERSONAL FOULS
Isaiah Hartenstein,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Isaiah Hartenstein,Pts+Asts,PTS+ASTS
Isaiah Hartenstein,Pts+Rebs,PTS+REBS
Isaiah Hartenstein,Pts+Rebs+Asts,PTS+REBS+ASTS
Isaiah Hartenstein,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Isaiah Hartenstein,Rebs+Asts,REBS+ASTS
Isaiah Hartenstein,Turnovers,TURNOVERS
Isaiah Hartenstein,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Isaiah Hartenstein,Two Pointers Made,TWO POINTERS MADE
Jabari Smith,3-PT Attempted,3PT ATTEMPTED
Jabari Smith,Blks+Stls,BLKS+STLS
Jabari Smith,Blocked Shots,BLOCKED SHOTS
Jabari Smith,Defensive Rebounds,DEFENSIVE REBOUNDS
Jabari Smith,Double-Double,DOUBLEDOUBLE
Jabari Smith,Dunks,DUNKS
Jabari Smith,FG Made,FG MADE
Jabari Smith,Free Throws Attempted,FREE THROWS ATTEMPTED
Jabari Smith,Free Throws Made,FREE THROWS MADE
Jabari Smith,Offensive Rebounds,OFFENSIVE REBOUNDS
Jabari Smith,Personal Fouls,PERSONAL FOULS
Jabari Smith,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Jabari Smith,Pts+Asts,PTS+ASTS
Jabari Smith,Pts+Rebs,PTS+REBS
Jabari Smith,Pts+Rebs+Asts,PTS+REBS+ASTS
Jabari Smith,Rebs+Asts,REBS+ASTS
Jabari Smith,Turnovers,TURNOVERS
Jabari Smith,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Jabari Smith,Two Pointers Made,TWO POINTERS MADE
Jalen Brunson,3-PT Attempted,3PT ATTEMPTED
Jalen Brunson,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Jalen Brunson,Blks+Stls,BLKS+STLS
Jalen Brunson,Blocked Shots,BLOCKED SHOTS
Jalen Brunson,Double-Double,DOUBLEDOUBLE
Jalen Brunson,FG Attempted,FG ATTEMPTED
Jalen Brunson,Free Throws Attempted,FREE THROWS ATTEMPTED
Jalen Brunson,Free Throws Made,FREE THROWS MADE
Jalen Brunson,Personal Fouls,PERSONAL FOULS
Jalen Brunson,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Jalen Brunson,Pts+Asts,PTS+ASTS
Jalen Brunson,Pts+Rebs,PTS+REBS
Jalen Brunson,Pts+Rebs+Asts,PTS+REBS+ASTS
Jalen Brunson,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Jalen Brunson,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Jalen Brunson,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Jalen Brunson,Rebs+Asts,REBS+ASTS
Jalen Brunson,Turnovers,TURNOVERS
Jalen Williams,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Jalen Williams,Blks+Stls,BLKS+STLS
Jalen Williams,Blocked Shots,BLOCKED SHOTS
Jalen Williams,FG Made,FG MADE
Jalen Williams,Free Throws Attempted,FREE THROWS ATTEMPTED
Jalen Williams,Personal Fouls,PERSONAL FOULS
Jalen Williams,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Jalen Williams,Pts+Asts,PTS+ASTS
Jalen Williams,Pts+Rebs,PTS+REBS
Jalen Williams,Pts+Rebs+Asts,PTS+REBS+ASTS
Jalen Williams,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Jalen Williams,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Jalen Williams,Rebs+Asts,REBS+ASTS
Jalen Williams,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Jamal Murray,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Jamal Murray,Blks+Stls,BLKS+STLS
Jamal Murray,Blocked Shots,BLOCKED SHOTS
Jamal Murray,Double-Double,DOUBLEDOUBLE
Jamal Murray,Free Throws Attempted,FREE THROWS ATTEMPTED
Jamal Murray,Free Throws Made,FREE THROWS MADE
Jamal Murray,Personal Fouls,PERSONAL FOULS
Jamal Murray,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Jamal Murray,Pts+Asts,PTS+ASTS
Jamal Murray,Pts+Rebs,PTS+REBS
Jamal Murray,Pts+Rebs+Asts,PTS+REBS+ASTS
Jamal Murray,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Jamal Murray,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Jamal Murray,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Jamal Murray,Rebs+Asts,REBS+ASTS
Jamal Murray,Turnovers,TURNOVERS
Jamal Murray,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Jamal Murray,Two Pointers Made,TWO POINTERS MADE
Josh Hart,3-PT Attempted,3PT ATTEMPTED
Josh Hart,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Josh Hart,Blks+Stls,BLKS+STLS
Josh Hart,Blocked Shots,BLOCKED SHOTS
Josh Hart,Defensive Rebounds,DEFENSIVE REBOUNDS
Josh Hart,Double-Double,DOUBLEDOUBLE
Josh Hart,Free Throws Attempted,FREE THROWS ATTEMPTED
Josh Hart,Free Throws Made,FREE THROWS MADE
Josh Hart,Offensive Rebounds,OFFENSIVE REBOUNDS
Josh Hart,Personal Fouls,PERSONAL FOULS
Josh Hart,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Josh Hart,Pts+Asts,PTS+ASTS
Josh Hart,Pts+Rebs,PTS+REBS
Josh Hart,Pts+Rebs+Asts,PTS+REBS+ASTS
Josh Hart,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Josh Hart,Rebs+Asts,REBS+ASTS
Josh Hart,Turnovers,TURNOVERS
Karl-Anthony Towns,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Karl-Anthony Towns,Blks+Stls,BLKS+STLS
Karl-Anthony Towns,Blocked Shots,BLOCKED SHOTS
Karl-Anthony Towns,Free Throws Attempted,FREE THROWS ATTEMPTED
Karl-Anthony Towns,Free Throws Made,FREE THROWS MADE
Karl-Anthony Towns,Personal Fouls,PERSONAL FOULS
Karl-Anthony Towns,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Karl-Anthony Towns,Pts+Asts,PTS+ASTS
Karl-Anthony Towns,Pts+Rebs,PTS+REBS
Karl-Anthony Towns,Pts+Rebs+Asts,PTS+REBS+ASTS
Karl-Anthony Towns,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Karl-Anthony Towns,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Karl-Anthony Towns,Rebs+Asts,REBS+ASTS
Karl-Anthony Towns,Turnovers,TURNOVERS
Kevin Durant,Blocked Shots,BLOCKED SHOTS
Kevin Durant,Double-Double,DOUBLEDOUBLE
Kevin Durant,Dunks,DUNKS
Kevin Durant,FG Attempted,FG ATTEMPTED
Kevin Durant,Free Throws Attempted,FREE THROWS ATTEMPTED
Kevin Durant,Free Throws Made,FREE THROWS MADE
Kevin Durant,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Kevin Durant,Pts+Asts,PTS+ASTS
Kevin Durant,Pts+Rebs,PTS+REBS
Kevin Durant,Pts+Rebs+Asts,PTS+REBS+ASTS
Kevin Durant,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Kevin Durant,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Kevin Durant,Rebs+Asts,REBS+ASTS
Kevin Durant,Turnovers,TURNOVERS
Kevin Durant,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Kevin Durant,Two Pointers Made,TWO POINTERS MADE
