DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-03-29,Jamal Murray,DEN,,FG3M,3-PT Made,UNDER FG3M,3.5,3.2,-0.3,0.3,HIGH,0.84,High,,
2026-03-29,Nikola Jokić,DEN,,FG3M,3-PT Made,UNDER FG3M,1.5,1.2,-0.3,0.3,HIGH,0.84,High,,
2026-03-29,Alperen Sengun,HOU,,FG3M,3-PT Made,UNDER FG3M,0.5,0.3,-0.2,0.2,HIGH,0.84,High,,
2026-03-29,Josh Hart,NYK,,FG3M,3-PT Made,UNDER FG3M,1.5,1.4,-0.1,0.1,HIGH,0.84,High,,
2026-03-29,Saddiq Bey,NOP,,FG3M,3-PT Made,UNDER FG3M,2.5,2.4,-0.1,0.1,HIGH,0.84,High,,
2026-03-29,Aaron Gordon,DEN,,FG3M,3-PT Made,UNDER FG3M,1.5,1.4,-0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Christian Braun,DEN,,FG3M,3-PT Made,UNDER FG3M,1.5,1.4,-0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,De'Anthony Melton,GSW,,FG3M,3-PT Made,UNDER FG3M,1.5,1.4,-0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Amen Thompson,HOU,,FG3M,3-PT Made,UNDER FG3M,0.5,0.5,0.0,0.0,HIGH,0.84,High,,
2026-03-29,Mikal Bridges,NYK,,FG3M,3-PT Made,UNDER FG3M,1.5,1.5,0.0,0.0,HIGH,0.84,High,,
2026-03-29,Dejounte Murray,NOP,,FG3M,3-PT Made,UNDER FG3M,1.5,1.5,0.0,0.0,MEDIUM,0.72,Medium,,
2026-03-29,Karl-Anthony Towns,NYK,,FG3M,3-PT Made,UNDER FG3M,1.5,1.5,0.0,0.0,MEDIUM,0.72,Medium,,
2026-03-29,Derik Queen,NOP,,FG3M,3-PT Made,UNDER FG3M,0.5,0.5,0.0,0.0,LOW,0.56,Low,,
2026-03-29,Reed Sheppard,HOU,,STL,Steals,OVER STL,1.5,2.1,0.6,0.6,HIGH,0.84,High,,
2026-03-29,Mitchell Robinson,NYK,,STL,Steals,OVER STL,0.5,1.1,0.6,0.6,LOW,0.56,Low,,
2026-03-29,Nikola Jokić,DEN,,STL,Steals,OVER STL,1.5,1.9,0.4,0.4,HIGH,0.84,High,,
2026-03-29,Derik Queen,NOP,,STL,Steals,OVER STL,0.5,0.9,0.4,0.4,LOW,0.56,Low,,
2026-03-29,Herbert Jones,NOP,,STL,Steals,OVER STL,1.5,1.8,0.3,0.3,HIGH,0.84,High,,
2026-03-29,Ajay Mitchell,OKC,,STL,Steals,OVER STL,0.5,0.8,0.3,0.3,MEDIUM,0.72,Medium,,
2026-03-29,Cason Wallace,OKC,,STL,Steals,OVER STL,1.5,1.8,0.3,0.3,MEDIUM,0.72,Medium,,
2026-03-29,Christian Braun,DEN,,STL,Steals,OVER STL,0.5,0.8,0.3,0.3,MEDIUM,0.72,Medium,,
2026-03-29,De'Anthony Melton,GSW,,STL,Steals,OVER STL,1.5,1.8,0.3,0.3,MEDIUM,0.72,Medium,,
2026-03-29,Gary Payton,GSW,,STL,Steals,OVER STL,1.5,1.8,0.3,0.3,MEDIUM,0.72,Medium,,
2026-03-29,Shai Gilgeous-Alexander,OKC,,STL,Steals,OVER STL,1.5,1.7,0.2,0.2,HIGH,0.84,High,,
2026-03-29,Chet Holmgren,OKC,,STL,Steals,OVER STL,0.5,0.6,0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Amen Thompson,HOU,,STL,Steals,UNDER STL,2.5,0.9,-1.6,1.6,HIGH,0.84,High,,
2026-03-29,Mikal Bridges,NYK,,STL,Steals,UNDER STL,1.5,0.5,-1.0,1.0,HIGH,0.84,High,,
2026-03-29,Dejounte Murray,NOP,,STL,Steals,UNDER STL,2.5,1.5,-1.0,1.0,MEDIUM,0.72,Medium,,
2026-03-29,Alperen Sengun,HOU,,STL,Steals,UNDER STL,1.5,0.6,-0.9,0.9,HIGH,0.84,High,,
2026-03-29,Jamal Murray,DEN,,STL,Steals,UNDER STL,1.5,0.6,-0.9,0.9,HIGH,0.84,High,,
2026-03-29,Peyton Watson,DEN,,STL,Steals,UNDER STL,1.5,0.6,-0.9,0.9,MEDIUM,0.72,Medium,,
2026-03-29,Jabari Smith,HOU,,STL,Steals,UNDER STL,1.5,0.7,-0.8,0.8,HIGH,0.84,High,,
2026-03-29,Jalen Williams,OKC,,STL,Steals,UNDER STL,1.5,0.7,-0.8,0.8,MEDIUM,0.72,Medium,,
2026-03-29,Kristaps Porziņģis,GSW,,STL,Steals,UNDER STL,1.5,0.7,-0.8,0.8,MEDIUM,0.72,Medium,,
2026-03-29,Karl-Anthony Towns,NYK,,STL,Steals,UNDER STL,1.5,0.8,-0.7,0.7,MEDIUM,0.72,Medium,,
2026-03-29,Zion Williamson,NOP,,STL,Steals,UNDER STL,1.5,0.9,-0.6,0.6,HIGH,0.84,High,,
2026-03-29,Brandin Podziemski,GSW,,STL,Steals,UNDER STL,1.5,1.0,-0.5,0.5,HIGH,0.84,High,,
2026-03-29,Gui Santos,GSW,,STL,Steals,UNDER STL,1.5,1.0,-0.5,0.5,HIGH,0.84,High,,
2026-03-29,Kevin Durant,HOU,,STL,Steals,UNDER STL,1.5,1.0,-0.5,0.5,HIGH,0.84,High,,
2026-03-29,Cameron Johnson,DEN,,STL,Steals,UNDER STL,1.5,1.0,-0.5,0.5,MEDIUM,0.72,Medium,,
2026-03-29,Tari Eason,HOU,,STL,Steals,UNDER STL,1.5,1.0,-0.5,0.5,LOW,0.56,Low,,
2026-03-29,OG Anunoby,NYK,,STL,Steals,UNDER STL,1.5,1.1,-0.4,0.4,HIGH,0.84,High,,
2026-03-29,Saddiq Bey,NOP,,STL,Steals,UNDER STL,1.5,1.1,-0.4,0.4,HIGH,0.84,High,,
2026-03-29,Jalen Brunson,NYK,,STL,Steals,UNDER STL,1.5,1.2,-0.3,0.3,HIGH,0.84,High,,
2026-03-29,Isaiah Hartenstein,OKC,,STL,Steals,UNDER STL,1.5,1.2,-0.3,0.3,LOW,0.56,Low,,
2026-03-29,Draymond Green,GSW,,STL,Steals,UNDER STL,1.5,1.3,-0.2,0.2,HIGH,0.84,High,,
2026-03-29,Luguentz Dort,OKC,,STL,Steals,UNDER STL,0.5,0.3,-0.2,0.2,LOW,0.56,Low,,
2026-03-29,Josh Hart,NYK,,STL,Steals,UNDER STL,1.5,1.4,-0.1,0.1,HIGH,0.84,High,,
2026-03-29,Alex Caruso,OKC,,STL,Steals,UNDER STL,1.5,1.4,-0.1,0.1,LOW,0.56,Low,,
2026-03-29,Aaron Gordon,DEN,,STL,Steals,UNDER STL,0.5,0.5,0.0,0.0,MEDIUM,0.72,Medium,,
2026-03-29,Tim Hardaway,DEN,,STL,Steals,UNDER STL,0.5,0.5,0.0,0.0,MEDIUM,0.72,Medium,,
2026-03-29,Karl-Anthony Towns,NYK,,FANTASY,Fantasy Score,OVER FANTASY,35.0,43.18,8.18,8.18,MEDIUM,0.72,Medium,,
2026-03-29,Gary Payton,GSW,,FANTASY,Fantasy Score,OVER FANTASY,22.5,29.94,7.44,7.44,MEDIUM,0.72,Medium,,
2026-03-29,Cameron Johnson,DEN,,FANTASY,Fantasy Score,OVER FANTASY,20.5,27.73,7.23,7.23,MEDIUM,0.72,Medium,,
